0,1,2,3,4,5,6,7,8,9,10,11
2701,294,11,95,1,1756,237,189,626,3,31,2
3121,191,6,300,84,2506,245,160,1230,3,32,1
2962,86,20,218,42,1800,202,78,1440,3,31,1
3390,72,16,108,14,2831,208,98,731,3,35,7
3218,83,20,42,11,1834,202,80,272,3,35,7
2965,176,18,323,-29,4495,247,145,2143,1,29,2
2830,353,17,366,-1,875,209,156,180,3,33,2
2125,49,29,85,41,150,165,63,693,4,4,6
3024,50,8,120,16,2321,223,133,1024,1,29,1
2167,61,24,270,86,598,184,72,612,4,6,3
2974,245,10,85,9,2062,248,186,1215,3,23,1
2331,115,24,268,37,342,209,70,1003,4,3,3
2877,127,14,67,10,5115,230,112,4331,1,29,2
3050,312,6,484,85,722,236,171,693,2,22,2
2361,123,13,170,28,192,230,114,685,3,4,3
2286,189,6,270,24,150,244,159,300,4,10,4
3273,203,10,892,118,2271,249,168,2041,3,31,1
3110,315,10,277,69,721,232,179,1100,2,23,1
3404,44,13,216,56,3937,210,120,2929,3,39,7
2161,117,33,150,83,685,191,37,60,4,3,4
2295,100,18,95,20,150,213,89,277,4,11,3
2934,51,28,360,209,1926,169,66,618,3,13,5
3416,348,9,612,77,1492,225,161,1471,3,38,7
3336,5,13,408,88,644,214,148,1850,3,31,7
2998,202,16,277,39,5685,253,172,2290,1,29,1
2303,32,28,277,1,900,166,86,212,4,10,3
2659,232,12,30,4,1932,251,186,1830,3,17,3
2281,37,27,85,11,553,171,84,808,4,10,6
2596,276,14,324,7,987,242,200,1725,1,30,2
2287,141,22,400,167,1082,228,99,582,4,3,4
2918,358,13,524,-9,1917,215,153,3003,3,23,1
3261,165,41,192,104,1451,215,85,685,3,39,7
2618,28,23,240,83,361,182,105,1410,3,10,6
3304,29,5,0,0,4323,229,147,3902,1,38,7
2530,200,28,361,88,2143,251,171,212,3,4,3
2527,210,14,150,23,1063,253,177,1490,3,4,3
2741,8,3,216,62,1549,232,154,2098,3,11,5
3104,70,19,0,0,2856,200,88,3907,1,22,1
2847,64,23,350,151,362,187,73,1476,1,30,5
2371,84,25,0,0,808,189,58,470,4,10,3
3387,171,10,400,23,2356,245,149,418,3,38,7
2361,1,11,127,54,1020,220,152,842,4,10,6
3316,0,29,60,14,2446,173,134,497,3,39,7
3094,112,8,150,19,4559,231,128,3079,1,29,1
2156,130,7,0,0,927,236,136,845,4,14,4
2253,170,5,0,0,404,242,153,474,4,10,4
2827,49,16,150,42,2036,205,110,2072,3,33,5
3212,63,33,540,216,726,154,32,1991,1,30,7
3401,352,13,981,151,1237,217,158,1865,3,38,7
3036,259,1,420,126,1878,239,161,2473,3,32,2
2765,115,22,67,19,899,212,76,1415,3,23,5
2848,77,23,342,176,371,192,68,1805,1,29,5
2419,38,20,127,14,765,193,105,1084,4,10,6
2117,101,33,95,49,569,177,26,95,4,3,4
3328,191,6,532,33,1020,245,160,1273,3,32,7
2698,94,31,90,52,90,178,32,2466,1,30,5
2755,47,23,108,11,1805,182,85,1710,3,10,2
2356,96,15,170,21,446,218,101,700,4,2,3
2222,103,20,42,11,633,211,82,1682,4,3,4
2984,332,10,319,16,170,227,171,902,3,19,1
2336,200,8,324,42,1215,247,165,840,4,2,4
3310,80,10,457,76,3763,223,120,1563,1,39,7
3327,122,19,787,211,2826,222,93,2561,3,33,7
2833,206,8,787,58,2225,248,168,1680,3,17,5
3308,130,11,192,40,3237,234,125,600,3,38,1
2378,354,9,0,0,618,225,158,1445,4,5,4
2330,187,6,0,0,240,244,159,268,3,14,6
2166,148,27,30,8,1423,226,93,872,4,3,4
1968,332,38,30,30,90,165,180,591,4,4,3
2203,18,6,0,0,785,227,149,335,4,14,4
3243,338,22,470,138,3610,203,172,3483,3,40,7
3368,72,14,30,9,3503,212,105,2467,1,37,7
3334,345,7,60,13,2122,229,161,1087,3,39,7
3287,42,7,30,0,4039,225,138,3778,1,38,7
2798,203,25,228,118,1181,252,177,1736,3,4,5
2663,104,4,60,-9,1191,234,143,1705,3,20,5
2829,135,17,30,7,1366,230,109,2563,3,31,1
2487,153,28,420,79,395,229,99,1176,3,2,3
2492,88,22,192,55,371,199,71,981,3,2,3
3367,236,3,60,0,2748,242,166,626,3,38,7
2417,259,23,283,148,1282,245,222,646,4,1,6
2443,295,25,272,163,306,223,219,1744,4,10,3
3251,347,28,693,139,1288,182,157,1572,3,39,7
2344,295,26,134,61,1050,223,219,808,4,10,6
3133,329,18,95,17,1328,215,180,2281,1,29,1
2787,92,34,212,85,240,167,18,2584,1,30,5
2109,287,30,297,28,437,222,230,732,4,10,6
3388,56,12,553,109,1839,214,117,1861,1,39,1
3084,3,9,108,13,1812,222,152,1813,1,29,2
3312,299,9,395,31,3522,237,181,1445,1,39,1
3312,95,17,511,155,1209,213,92,1087,3,40,7
2938,145,25,335,193,2024,227,94,735,3,13,5
3360,15,11,0,0,4631,217,143,4228,3,23,7
2640,1,12,0,0,2274,217,152,2521,3,17,6
2720,65,30,108,55,108,165,0,1316,1,30,5
2575,297,2,319,22,1397,238,163,1558,3,2,5
2333,284,6,216,104,1047,240,176,603,4,5,6
3472,138,24,255,109,3986,223,89,3785,3,33,7
2941,70,7,335,45,3416,226,132,1710,1,29,2
2597,21,36,212,101,949,142,83,1243,3,13,2
2130,332,26,524,122,631,196,181,384,4,5,3
2928,100,12,150,35,3443,224,113,2318,1,12,2
2406,321,25,210,76,726,208,194,553,4,10,3
2697,82,7,108,10,210,228,132,977,3,17,5
2932,258,25,319,118,1641,245,225,631,3,13,2
2168,316,15,0,0,1034,226,187,685,4,14,4
3409,198,10,785,203,1865,249,165,1321,3,38,7
2772,91,20,150,73,3416,205,80,5919,1,30,5
2741,68,20,192,95,201,195,81,900,1,30,5
2668,71,16,424,33,1200,207,98,1239,1,23,2
2708,4,7,210,21,1812,226,153,3700,1,12,2
2168,107,29,67,32,1343,192,44,703,4,3,4
2178,97,13,0,0,658,221,108,1318,4,1,4
2265,9,21,0,0,391,192,133,658,4,10,4
2713,340,31,391,194,1024,178,168,691,3,33,6
2821,177,28,90,38,1142,242,136,2943,3,4,5
3359,19,11,0,0,1631,217,141,1812,2,38,7
2633,321,3,430,207,2154,236,163,426,3,2,3
3250,171,14,371,99,942,246,145,2438,1,22,2
2376,336,29,85,32,779,188,175,1100,4,10,6
2285,355,17,0,0,540,207,153,1667,4,4,3
3130,307,10,309,32,1087,234,182,1273,3,23,1
3090,34,12,30,4,3751,213,129,3978,1,29,1
2826,85,16,228,48,1867,211,96,1909,3,33,5
3009,344,3,247,43,4129,234,159,1320,1,29,2
3296,266,21,1063,375,3501,244,218,2591,3,27,2
3353,96,7,67,-12,4566,229,129,4375,3,23,7
3266,70,13,90,27,5815,214,111,631,1,22,1
3384,162,19,768,105,4334,241,129,2297,3,38,7
3355,90,18,450,198,1323,209,89,957,3,39,7
3446,326,17,618,108,1777,219,181,541,3,39,7
3115,46,18,283,-4,1746,197,103,3113,1,29,2
2356,38,14,285,149,150,208,121,1422,4,2,3
3505,83,18,270,12,1318,206,87,934,2,40,7
3458,297,1,779,119,1677,238,160,1423,3,40,7
3365,0,14,67,10,3539,212,151,2353,1,37,7
3384,198,6,90,-9,2684,245,163,470,3,38,7
2633,315,1,150,-6,1068,237,159,785,3,17,3
2819,275,17,60,30,1905,242,208,1182,3,23,5
2959,43,35,242,87,1834,141,47,2556,3,24,1
2295,323,26,67,29,1198,204,193,674,4,10,6
3106,34,18,684,-65,4254,199,114,4325,1,23,1
2750,328,12,335,139,1777,226,175,2454,3,10,6
2453,88,23,192,69,789,196,66,774,3,10,6
2298,137,19,258,115,1368,229,104,957,4,3,4
2381,109,31,201,65,1074,189,39,892,4,3,3
2432,52,17,300,74,900,201,102,1209,4,6,6
3163,280,13,579,39,3529,241,198,1254,3,13,1
2298,240,18,457,4,1302,252,203,853,4,2,4
2099,135,12,0,0,1405,234,123,819,4,1,4
3229,182,21,365,138,3678,248,150,404,3,34,2
3484,69,29,256,87,2502,169,44,3799,1,39,7
3241,357,44,300,27,1604,122,117,577,3,31,1
3379,10,12,361,97,2096,215,145,2914,1,40,1
2536,38,18,0,0,794,197,110,960,3,20,6
2163,30,40,67,38,516,125,55,362,4,10,6
2764,89,23,268,123,270,197,66,750,1,30,5
2211,146,32,42,28,1230,217,75,1061,4,3,4
2798,20,10,644,64,330,220,142,997,3,11,5
2315,15,33,67,51,1642,153,100,811,4,10,3
2732,54,22,201,58,216,186,82,1919,1,29,5
3370,166,8,30,0,4422,243,149,4240,3,23,7
2216,1,21,379,140,511,194,143,234,4,10,3
2452,99,10,430,96,765,227,121,1132,4,2,6
2336,204,12,309,42,1190,251,171,810,4,2,4
2843,280,11,90,0,2023,241,190,1211,3,33,5
3221,169,10,90,3,3009,244,148,2310,1,29,7
2775,36,10,30,5,1829,218,133,2781,1,29,5
2774,77,19,85,17,2827,201,84,2174,1,29,5
3398,52,11,510,26,738,215,122,750,2,40,7
2273,125,20,182,26,1353,221,91,514,4,2,6
3402,187,8,30,5,2672,246,159,382,3,38,7
3005,4,25,240,-20,760,184,135,1179,3,24,1
2817,328,8,108,-9,90,231,169,1144,1,30,2
2901,188,7,0,0,4152,246,159,4174,1,23,2
2312,331,11,451,93,660,226,172,430,4,6,3
2813,3,13,162,6,1332,215,149,2023,3,31,6
3251,71,12,660,97,1425,216,113,2385,1,38,1
2265,160,12,30,3,277,242,139,342,4,10,3
2216,42,13,30,0,805,212,123,362,4,10,3
2815,172,25,446,149,2081,242,131,2033,3,10,2
2485,211,4,0,0,1230,244,164,1233,3,17,6
3178,198,17,957,-91,4223,252,169,1505,3,31,2
1956,57,31,256,105,242,161,48,789,4,1,6
2636,255,25,134,66,1252,246,225,1140,3,28,5
3048,245,15,234,52,1712,251,198,1550,3,23,1
2384,335,18,228,106,1173,213,174,1091,4,10,6
2725,171,24,30,10,2310,242,132,582,3,4,5
2890,258,21,42,7,6236,247,217,4470,1,24,2
2193,338,12,30,4,960,223,168,1341,4,4,4
2963,181,26,190,45,297,245,143,778,3,13,5
2426,70,20,212,68,785,196,81,1337,4,6,6
2044,13,14,0,0,331,209,139,350,4,3,4
3026,270,11,443,76,5910,244,193,1746,1,29,1
1913,51,30,30,12,67,162,0,480,4,1,3
3289,340,9,42,4,3331,227,165,2480,3,23,7
2132,173,8,201,68,569,244,152,959,4,5,3
2758,100,19,258,54,342,211,85,474,1,30,5
2945,104,14,216,-4,4468,221,104,3349,1,29,1
3393,186,6,42,-3,2643,245,158,391,3,38,7
2396,9,19,430,126,955,200,138,1110,4,10,6
2642,302,27,124,62,1345,216,216,911,3,33,6
2980,29,18,323,66,2955,197,117,872,3,33,1
2156,11,28,150,34,300,171,118,716,4,10,6
3343,57,16,0,0,2911,205,104,1716,3,38,7
3086,184,12,108,13,6076,248,156,2305,1,29,1
2821,49,13,30,-1,794,211,117,218,1,29,5
3205,298,5,30,-2,3951,238,170,3455,1,29,1
3270,250,11,0,0,6041,248,190,547,1,38,1
2629,58,16,95,20,2184,203,101,2165,3,10,6
2793,119,20,95,27,2100,218,88,1191,3,13,5
2946,357,16,309,58,1719,210,153,1416,3,33,2
3000,173,19,309,119,1756,246,141,947,3,33,2
2616,200,13,120,18,2337,251,169,2014,3,11,2
3406,64,8,551,-47,830,224,129,618,2,38,7
2165,93,36,153,114,417,162,10,270,4,3,4
2684,340,19,255,52,2112,210,169,2375,3,10,6
2292,282,30,418,154,603,226,233,1627,4,10,3
2044,56,23,408,77,474,184,77,134,4,5,3
2163,3,23,240,60,426,190,139,277,4,10,6
2318,49,27,60,35,1271,169,68,1170,4,10,6
2775,82,7,30,3,1869,228,132,2741,1,23,5
2188,325,12,0,0,616,227,176,1273,4,16,4
3366,252,8,351,40,3606,246,182,2156,3,38,7
2131,271,15,60,7,1063,244,204,1342,4,17,4
3243,51,3,470,64,4381,232,147,2742,1,22,1
3293,94,12,319,48,1507,221,110,2239,3,32,1
2971,286,10,722,-63,1465,240,186,1879,3,31,2
2760,337,7,30,4,871,230,165,2164,3,17,2
3208,298,13,60,-7,3502,235,191,1749,1,22,1
2943,324,17,192,26,3636,220,183,1448,1,29,2
3443,58,11,824,164,2185,218,122,1544,1,35,7
2775,120,24,212,89,3337,212,73,5971,1,30,5
2812,226,21,108,47,2233,254,198,722,3,13,5
2302,196,24,297,121,1207,251,166,1132,4,3,4
2625,172,31,108,42,1895,237,122,1333,3,4,3
2259,22,32,150,89,644,156,92,446,4,10,6
2513,329,25,153,42,780,200,184,663,3,10,6
2300,289,19,216,66,1620,234,209,800,4,2,6
2521,257,28,450,-78,450,243,230,1103,3,4,3
2919,169,19,437,170,1802,244,136,977,3,13,5
3037,97,9,743,-31,1371,227,122,1062,1,23,2
2368,344,12,0,0,335,221,164,933,4,10,3
2985,203,14,124,3,5464,252,171,2047,1,23,1
2919,174,15,499,87,674,247,147,1498,3,4,5
2287,286,16,108,54,1260,238,204,470,4,2,6
2481,334,7,180,46,454,231,166,1794,4,6,3
2267,142,23,361,142,1124,228,98,598,4,3,4
2787,47,20,379,119,400,192,96,2241,1,29,5
2240,129,23,0,0,1536,219,83,677,4,1,4
2310,104,25,234,116,882,199,59,1434,4,3,4
2166,337,35,212,114,1103,169,172,524,4,10,3
2859,298,9,150,-21,1621,237,182,1396,3,23,5
2988,74,6,212,10,5176,228,135,6163,1,20,2
3386,155,19,255,36,4239,238,120,3313,3,33,7
3345,84,17,228,25,2670,209,92,1634,3,38,7
2901,221,5,342,69,800,245,169,1597,3,11,5
2503,300,13,618,113,955,235,191,350,4,6,3
3360,0,2,450,49,805,235,156,1774,3,32,7
2810,111,15,234,57,1874,222,102,792,3,31,5
2972,157,28,120,40,5784,231,104,3919,1,30,2
3063,221,23,551,252,1660,254,197,466,3,13,2
1991,337,16,0,0,180,216,171,510,4,10,4
2312,330,23,42,14,170,206,182,283,4,10,3
2409,38,22,175,66,642,186,97,485,4,10,6
2955,324,6,451,49,5630,233,168,2408,1,30,2
3228,94,6,285,27,5407,231,134,1242,1,29,1
3205,335,5,67,0,3150,233,163,4884,1,29,1
2715,40,4,420,98,1082,231,147,684,1,12,2
3160,50,18,201,12,1575,199,101,4621,2,22,1
2690,356,16,108,32,1994,209,153,2505,3,2,6
2105,294,19,60,5,402,231,208,480,4,10,3
3079,330,7,509,69,2858,232,167,937,3,32,1
2741,226,18,85,14,1530,254,194,2405,3,17,5
2049,48,27,30,17,361,171,71,335,4,1,6
2311,260,21,418,17,1260,246,218,819,4,2,4
2309,60,31,376,231,636,159,43,300,4,10,4
2793,102,12,350,63,2538,225,114,2097,3,32,3
2598,23,12,90,3,1919,214,136,2089,3,11,6
2308,341,29,182,111,1476,184,167,959,4,10,3
3420,41,21,134,-24,3264,188,97,2336,1,37,7
2610,301,24,60,10,750,221,212,1298,3,10,6
3445,0,8,451,106,1698,226,155,1260,3,40,7
2388,103,8,192,63,277,230,127,742,3,3,3
2860,223,12,969,83,2370,251,183,1535,3,17,5
2773,60,25,283,94,300,179,67,1895,1,29,5
2291,118,23,510,133,1425,213,76,940,4,2,4
3028,227,12,524,128,5429,251,183,1129,1,30,2
2892,105,26,376,220,1310,199,58,977,3,32,5
2894,258,7,335,26,1113,244,179,531,3,23,2
2601,358,21,60,6,1718,197,147,2845,3,10,6
2497,118,14,85,9,1061,227,110,636,3,4,3
2933,195,11,360,95,845,249,164,2242,3,33,5
2037,316,35,330,188,300,188,207,888,4,5,6
3267,243,13,192,8,3339,250,193,1616,3,23,1
3267,246,14,306,40,4039,250,197,2347,1,23,7
2476,142,6,277,42,671,239,143,1298,4,6,6
2289,125,29,404,164,1124,206,59,618,4,3,4
3763,13,18,1040,354,4890,200,133,3020,3,40,7
2959,260,5,750,53,5509,243,174,1910,1,29,2
2363,110,18,124,31,379,217,91,1250,4,1,6
2198,146,5,0,0,1511,239,146,872,4,17,4
2385,197,32,30,22,531,246,166,1226,4,4,3
2703,139,15,0,0,2329,234,119,579,3,31,5
3162,342,19,335,69,3024,208,167,3346,1,30,1
2358,33,16,30,7,474,205,121,547,4,2,3
2653,101,8,150,42,1831,229,126,4812,1,12,2
3165,65,14,212,37,2346,210,106,2200,1,30,1
2644,38,14,201,30,1956,209,122,2192,3,2,6
2752,40,15,212,39,2580,205,116,313,3,31,5
2679,138,7,300,95,1784,238,138,2617,3,2,6
2747,160,11,30,0,1371,242,141,1570,3,4,1
2453,344,6,418,183,849,230,161,902,4,6,6
2963,86,7,391,64,3378,228,130,2167,1,29,2
3006,11,20,841,129,858,195,132,1320,3,24,1
3418,255,3,767,179,3029,241,166,1921,3,38,7
2970,326,5,30,7,1565,234,166,1601,3,19,5
3367,225,10,339,45,3735,249,179,2124,3,38,7
2825,349,24,242,48,1298,193,157,1640,3,24,2
3403,51,7,631,-57,815,225,137,532,2,38,7
2453,96,11,300,91,268,224,115,470,4,2,3
3247,355,8,376,48,466,226,157,1290,2,23,1
2296,333,29,285,4,1100,188,179,1155,4,10,3
2711,126,4,0,0,1463,237,145,1355,3,10,5
2312,99,14,339,20,930,221,106,666,4,2,3
2752,158,21,242,46,543,238,121,577,1,30,5
2841,93,28,324,195,342,186,46,1954,1,30,5
3089,73,5,408,22,1812,230,139,2268,1,29,2
2733,154,18,134,40,1589,238,123,2395,3,4,2
2667,212,28,170,101,1987,252,190,360,3,4,3
2926,54,6,134,7,4097,227,138,5018,1,29,2
3402,71,16,534,169,2116,206,96,1477,1,35,7
3436,358,16,376,88,3937,208,151,3331,3,39,7
2822,103,11,446,92,2655,226,118,1981,3,32,3
2188,67,31,242,139,309,161,37,408,4,4,6
3440,319,16,582,71,2062,224,186,553,3,38,7
2847,324,21,95,24,2480,213,188,765,3,31,2
2736,289,14,295,35,1384,238,197,2022,3,11,5
2783,82,31,162,110,180,171,34,1481,1,29,5
2130,341,13,0,0,1053,220,166,1396,4,17,4
2790,219,24,30,18,1781,254,195,1209,3,23,5
2243,98,15,95,22,600,218,100,1699,4,3,4
2371,54,6,0,0,671,226,137,1505,4,5,4
2239,36,17,0,0,1507,200,113,947,4,17,4
3430,49,5,150,16,1128,228,141,1015,2,40,7
3292,227,8,0,0,1399,248,175,1455,3,38,1
2657,44,15,192,48,2273,207,116,2221,3,10,6
3031,261,15,755,66,5683,247,202,6132,1,12,2
2326,86,27,543,241,1434,183,47,983,4,2,4
1974,51,38,67,54,108,131,24,371,4,1,3
2580,98,15,175,39,582,217,99,2297,1,12,2
3080,84,18,636,211,1973,207,88,2847,3,33,1
3178,4,15,277,71,1308,211,147,384,3,24,1
3451,354,12,553,209,1113,219,157,1543,2,40,7
2608,81,8,430,-31,765,226,128,726,3,17,5
2098,333,16,150,62,331,217,175,516,4,10,3
2830,329,11,495,75,1945,227,172,979,3,11,5
2770,347,8,95,0,1855,227,161,2758,1,29,5
3247,79,9,192,-6,3017,224,124,1962,3,31,1
2938,153,19,551,106,618,237,119,1448,3,4,5
2786,278,19,60,17,1856,240,212,1132,3,23,5
3421,291,16,793,228,4772,236,202,2906,3,39,7
2502,105,17,228,70,902,216,91,1328,3,4,3
3167,210,13,42,9,1723,252,176,4320,2,22,1
2681,131,10,379,87,2308,235,128,902,3,2,3
3263,80,29,162,60,4773,174,40,192,1,22,1
2983,30,11,42,8,1840,215,133,1388,1,29,2
2156,108,35,153,105,497,176,18,180,4,3,4
2200,127,32,30,17,1294,201,49,997,4,3,4
2514,15,16,268,64,953,206,136,430,4,6,3
2618,5,19,90,28,1429,199,140,1084,1,29,2
2386,77,14,0,0,914,214,105,957,4,6,4
3362,97,11,212,39,2366,224,114,2624,1,39,7
2829,113,18,242,68,1911,219,94,979,3,13,5
2256,242,35,150,80,708,243,230,721,4,6,3
2551,32,4,0,0,1421,230,147,1114,3,17,3
2905,165,28,577,239,2263,236,116,1879,3,4,7
2733,102,7,30,-4,1034,231,132,569,3,31,1
2761,325,27,234,27,1782,200,190,1492,3,13,6
2716,298,10,67,0,1832,236,186,658,3,31,5
2529,28,22,85,7,2561,188,110,751,3,10,6
2310,145,15,433,16,1315,236,122,904,4,2,4
3435,217,10,30,0,4024,250,176,3805,3,35,7
2672,352,10,0,0,1423,222,158,1353,3,20,6
3303,131,9,95,7,3909,235,130,2322,1,38,7
3163,171,5,247,57,2155,242,154,607,3,23,2
2825,263,16,309,134,1047,246,206,1865,3,4,5
2590,284,23,0,0,1279,233,220,1027,3,28,5
2260,118,21,124,39,553,217,84,1740,4,3,4
2301,111,31,170,76,488,190,38,1803,4,3,4
2544,60,22,134,54,1148,189,79,812,3,10,6
2927,54,6,430,0,872,227,138,2290,1,23,2
3409,101,6,212,70,1740,232,135,1087,3,38,7
2348,70,9,30,4,470,223,125,830,4,2,3
3509,90,16,120,30,1677,213,96,2021,2,39,7
2068,90,15,30,4,942,215,99,218,4,1,4
3224,168,39,134,67,1396,221,97,725,3,39,7
2638,86,15,0,0,1351,213,98,618,1,30,5
2808,35,8,30,3,2252,223,139,2164,3,23,1
2189,359,22,300,70,510,194,146,192,4,10,6
2940,152,7,30,0,1965,240,144,277,3,32,1
2895,132,17,255,89,277,229,106,1167,1,29,1
3278,169,24,30,-5,2143,241,128,805,3,22,7
3234,350,29,361,109,4424,179,153,1518,1,38,1
2183,78,25,182,132,433,187,60,272,4,10,4
2530,105,7,0,0,684,232,133,931,3,11,6
2919,224,18,85,24,451,254,193,1436,3,13,2
2982,19,11,390,0,4641,217,141,5061,1,29,2
2834,270,21,402,143,979,242,219,1873,3,4,5
3284,222,11,514,57,4224,251,180,2089,1,23,7
2321,18,10,0,0,283,220,143,819,4,10,4
2352,41,9,0,0,789,220,133,1116,4,14,4
3128,54,8,247,46,5126,223,131,3121,1,30,1
2258,118,11,376,118,1337,230,119,792,4,3,3
1905,27,22,182,56,150,188,111,760,4,2,6
2336,65,9,0,0,1418,222,126,323,4,6,4
2546,40,25,67,16,765,177,86,1048,3,11,2
3462,15,11,365,114,4023,216,142,3268,3,40,7
2311,167,18,361,130,1195,244,135,1168,4,6,4
2986,293,12,67,13,2549,237,192,907,1,29,2
2488,0,27,342,126,767,178,137,1291,4,10,3
2988,66,18,268,62,5460,201,92,1383,1,30,2
3331,246,3,660,117,859,241,166,1113,3,32,7
2272,25,8,170,54,1445,223,143,430,4,10,6
2495,140,19,499,-104,560,231,108,1248,3,2,3
3048,40,15,0,0,1892,206,117,1865,1,29,1
2326,322,28,309,115,1113,200,195,872,4,10,6
2389,179,33,90,30,510,237,130,1172,4,4,3
2426,294,25,270,120,1154,224,219,1361,4,10,6
3435,211,11,810,42,3472,250,174,295,3,38,1
3169,58,26,379,115,2970,176,64,947,3,24,1
2492,353,8,285,49,85,227,158,1710,4,6,3
2419,48,11,0,0,395,215,123,1296,4,6,4
3413,63,4,324,65,882,231,143,932,2,40,7
2342,83,13,30,6,201,217,108,830,4,17,3
2738,91,19,150,86,180,207,84,1177,1,30,5
3115,35,18,474,131,1595,199,113,3515,3,33,1
3430,143,17,30,-9,2925,234,114,840,3,35,7
2451,335,20,306,73,752,208,175,511,4,10,6
2500,323,15,242,17,484,224,182,1552,4,6,3
2746,121,21,90,-5,457,219,87,350,1,30,5
