Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness,Soil_type,Cover_Type
0.851995853,0.094444444,0.045454545,0,0,0.570605592,0.913385827,0.586614173,0.521399693,0.25,0.95,7
0.559875583,0.186111111,0.515151515,0.198282033,0.201331115,0.097794014,0.602362205,0.106299213,0.106928761,1,0.15,3
0.882581649,0.25,0.121212121,0.335719399,-0.026622296,0.117465224,0.897637795,0.507874016,0.101770528,0.5,1,7
0.604199067,0.736111111,0.166666667,0.088761632,0.048252912,0.165800197,0.964566929,0.755905512,0.018681165,1,0.15,4
0.560653188,0.347222222,0.454545455,0.047959914,0.06156406,0.173528172,0.799212598,0.212598425,0.082949951,1,0.075,4
0.796526698,0.730555556,0.181818182,0.042949177,0.011647255,0.775326683,0.968503937,0.771653543,0.33556392,0.25,0.575,2
0.869880767,0.75,0.075757576,0.322834646,0.224625624,0.283967964,0.952755906,0.68503937,0.320786282,0.5,0.8,2
0.837739762,0.105555556,0.257575758,0.136005727,-0.016638935,0.488829563,0.795275591,0.448818898,0.494911474,0.25,0.95,7
0.845515811,0.522222222,0.227272727,0.107372942,0.103161398,0.393424196,0.984251969,0.625984252,0.034434686,0.75,0.95,7
0.704510109,0.247222222,0.318181818,0.107372942,0.108153078,0.021076296,0.795275591,0.295275591,0.255959849,0.25,0.75,5
0.742612753,0.847222222,0.333333333,0.021474588,0.019966722,0.146269496,0.87007874,0.81496063,0.252613969,0.25,0.75,1
0.812597201,0.108333333,0.196969697,0.357193987,0.111480865,0.747084446,0.826771654,0.480314961,0.228774571,0.25,0.725,1
0.632452048,0.497222222,0.212121212,0.021474588,0,0.252915554,0.976377953,0.598425197,0.022584693,0.75,0.05,3
0.491446345,0.936111111,0.181818182,0.021474588,0.009983361,0.024589012,0.881889764,0.661417323,0.102049352,1,0.125,6
0.822187662,0.655555556,0.227272727,0.211166786,0.014975042,0.422228467,0.992125984,0.767716535,0.028021748,0.75,0.8,2
0.749351996,0.644444444,0.303030303,0.115962777,0.074875208,0.722495433,0.996062992,0.799212598,0.067475254,0.25,0.725,2
0.79367548,0.441666667,0.212121212,0.060844667,0.02828619,0.490796684,0.952755906,0.527559055,0.342952739,0.75,0.825,1
0.765940902,0.027777778,0.121212121,0.030064424,0,0.724181537,0.881889764,0.586614173,0.390631535,0.25,0.4,1
0.884914463,0.875,0.045454545,0.554044381,0.291181364,0.431080511,0.933070866,0.641732283,0.25930573,0.75,0.95,7
0.586054951,0.166666667,0.333333333,0,0,0.059013629,0.748031496,0.318897638,0.23198104,1,0.1,4
0.724468637,0.058333333,0.121212121,0.12884753,0.049916805,0.193058873,0.877952756,0.570866142,0.337794507,0.75,0.8,1
0.729393468,0.197222222,0.393939394,0.088761632,0.021630616,0.037656316,0.712598425,0,0.214275756,0.25,0.75,5
0.637117678,0.188888889,0.166666667,0.25841088,0.159733777,0.0455248,0.858267717,0.464566929,0.056043496,1,0.05,3
0.527216174,0.288888889,0.242424242,0,0,0.063228889,0.854330709,0.374015748,0.076815837,1,0.35,4
0.777864178,0.325,0.045454545,0.496062992,0.048252912,0.782071097,0.929133858,0.57480315,0.879548306,0.25,0.725,1
0.535769829,0.286111111,0.424242424,0.021474588,0.013311148,0.117184207,0.755905512,0.188976378,0.02648822,1,0.025,4
0.552099533,0.994444444,0.212121212,0.021474588,-0.004991681,0.184768863,0.842519685,0.602362205,0.058552907,1,0.35,4
0.687662001,0.586111111,0.272727273,0.107372942,-0.003327787,0.33918786,1,0.712598425,0.267809842,0.75,0.275,2
0.523068948,0.075,0.136363636,0,0,0.065617535,0.87007874,0.551181102,0.068032901,1,0.25,4
0.797822706,0.041666667,0.075757576,0.060844667,0.004991681,0.45918224,0.905511811,0.598425197,0.151122264,0.25,0.725,2
0.642042509,0.261111111,0.166666667,0.40801718,0.201331115,0.084726711,0.877952756,0.452755906,0.136484037,1,0.15,6
0.801710731,0.547222222,0.227272727,0.151753758,0.02828619,0.239145707,0.992125984,0.657480315,0.105534644,0.75,0.775,2
0.809486781,0.180555556,0.196969697,0.030064424,0,0.700716594,0.842519685,0.440944882,0.165063432,0.25,0.55,1
0.647485744,0.855555556,0.272727273,0.292054402,0.362728785,0.059575664,0.88976378,0.775590551,0.096612296,1,0.25,3
0.71254536,0.238888889,0.454545455,0.068002863,0.064891847,0.028242237,0.692913386,0.141732283,0.202286352,0.25,0.75,5
0.830482115,0.513888889,0.151515152,0.107372942,-0.008319468,0.314177322,0.972440945,0.622047244,0.405269762,0.25,0.725,7
0.805339554,0.263888889,0.151515152,0.182534001,0.074875208,0.080089926,0.885826772,0.464566929,0.074864074,0.75,0.775,1
0.658631415,0.163888889,0.106060606,0.298496779,0.063227953,0.139103555,0.88976378,0.527559055,0.192527534,0.75,0.275,5
0.855883878,0.163888889,0.106060606,0,0,0.272586764,0.88976378,0.527559055,0.125470514,0.75,0.975,7
0.628045619,0.358333333,0.348484848,0.115962777,0.048252912,0.060418716,0.866141732,0.338582677,0.126028161,0.75,0.1,3
0.837221358,0.969444444,0.151515152,0.021474588,0.006655574,0.510467894,0.881889764,0.62992126,0.578837307,0.25,0.95,1
0.862623121,0.280555556,0.287878788,0.191839656,0.104825291,0.352114655,0.834645669,0.338582677,0.362191552,0.25,0.975,7
0.708916537,0.161111111,0.333333333,0.143879742,0.093178037,0.030349867,0.74015748,0.31496063,0.260002788,0.25,0.725,5
0.631156039,0.811111111,0.303030303,0.042949177,0.034941764,0.050864128,0.913385827,0.830708661,0.127143455,1,0.25,3
0.634266459,0.988888889,0.227272727,0.047959914,0.024958403,0.110299283,0.834645669,0.606299213,0.190157535,1,0.15,3
0.631415241,0.280555556,0.363636364,0.064423765,0.034941764,0.139525081,0.783464567,0.24015748,0.150564617,0.75,0.1,3
0.744945568,0.336111111,0.166666667,0.286327845,0.098169717,0.114655051,0.909448819,0.476377953,0.389655653,0.75,0.275,2
0.863141524,0.963888889,0.090909091,0.570508232,0.058236273,0.105662498,0.905511811,0.62992126,0.169385194,0.75,0.8,7
0.594090202,0.491666667,0.439393939,0.317108089,0.252911814,0.184768863,0.952755906,0.527559055,0.111111111,1,0.075,4
0.55002592,0.138888889,0.212121212,0,0,0.182520725,0.822834646,0.448818898,0.129931688,1,0.425,4
0.727319855,0.161111111,0.393939394,0.194702935,0.22296173,0.042293101,0.688976378,0.251968504,0.24606162,0.25,0.725,5
0.842923795,0.247222222,0.212121212,0.317108089,0.154742097,0.094281298,0.854330709,0.409448819,0.134114039,0.75,0.975,7
0.621047175,0.675,0.181818182,0,0,0.08894197,0.980314961,0.748031496,0.158371672,0.75,0.35,6
0.584758942,0.083333333,0.136363636,0.107372942,0.079866889,0.223127722,0.866141732,0.543307087,0.050327617,1,0.25,6
0.860549508,0.002777778,0.212121212,0.947029349,0.504159734,0.275256428,0.838582677,0.590551181,0.261954552,0.75,0.95,7
0.535510627,0.280555556,0.333333333,0,0,0.05479837,0.807086614,0.283464567,0.092151122,1,0.025,4
0.675997926,0.927777778,0.151515152,0.021474588,0.006655574,0.27090066,0.893700787,0.665354331,0.385752126,0.75,0.425,6
0.714878175,0.797222222,0.106060606,0.228346457,0.104825291,0.252915554,0.94488189,0.704724409,0.323992751,0.75,0.25,6
0.646189736,0.308333333,0.090909091,0.060844667,0.019966722,0.072783476,0.921259843,0.539370079,0.185278126,1,0.15,6
0.776308968,0.391666667,0.151515152,0.319255548,0.049916805,0.736124772,0.933070866,0.519685039,0.779032483,0.25,0.3,2
0.827630897,0.113888889,0.212121212,0.021474588,0.006655574,0.127019812,0.822834646,0.476377953,0.202704587,0.25,0.575,1
0.619491965,0.225,0.257575758,0.064423765,0.053244592,0.109456232,0.818897638,0.358267717,0.201171058,1,0.15,6
0.745982374,0.825,0.287878788,0.551896922,0.31281198,0.303498665,0.905511811,0.811023622,0.244806915,0.75,0.325,5
0.809227579,0.297222222,0.348484848,0.060844667,0.038269551,0.179148518,0.811023622,0.275590551,0.311724523,0.25,0.75,1
0.705806117,0.816666667,0.151515152,0.021474588,0.011647255,0.262470142,0.937007874,0.736220472,0.099121706,0.75,0.775,5
0.805080353,0.875,0.03030303,0.068002863,-0.021630616,0.260784038,0.933070866,0.633858268,0.372508016,0.75,0.8,1
0.833592535,0.108333333,0.045454545,0,0,0.431923563,0.913385827,0.586614173,0.230029276,0.25,0.55,1
0.669258683,0.272222222,0.196969697,0.244810308,0.242928453,0.05072362,0.87007874,0.421259843,0.029276453,0.75,0.05,3
0.680663556,0.516666667,0.166666667,0.047959914,0.006655574,0.302936631,0.976377953,0.622047244,0.358009201,0.75,0.1,5
0.827630897,0.222222222,0.060606061,0.303507516,0.016638935,0.74455529,0.913385827,0.559055118,0.327896278,0.25,0.55,1
0.863659927,0.183333333,0.166666667,0,0,0.331038359,0.854330709,0.460629921,0.566150843,0.5,0.875,7
0.679885951,0.088888889,0.166666667,0.299212598,0.22296173,0.292820008,0.854330709,0.527559055,0.080440541,0.75,0.05,3
0.837221358,0.544444444,0.242424242,0.375089477,0.18968386,0.392019109,0.992125984,0.653543307,0.423672104,0.75,0.825,2
0.739502333,0.263888889,0.196969697,0.107372942,0.014975042,0.431923563,0.866141732,0.42519685,0.595427297,0.25,0.725,2
0.550544323,0.355555556,0.439393939,0.060844667,0.06156406,0.106646059,0.81496063,0.232283465,0.01324411,1,0.075,4
0.61093831,0.136111111,0.439393939,0.107372942,0.174708819,0.190810735,0.653543307,0.251968504,0.157535201,1,0.05,3
0.888284085,0.436111111,0.303030303,0.354330709,0.445923461,0.248700295,0.937007874,0.472440945,0.087968772,0.75,1,7
0.84059098,0.058333333,0.196969697,0.030064424,0,0.55430659,0.834645669,0.531496063,0.258887495,0.25,0.95,7
0.734577501,0.2,0.439393939,0.239799571,0.234608985,0.048053955,0.673228346,0.169291339,0.202286352,0.25,0.75,5
0.742353551,0.244444444,0.363636364,0.354330709,0.357737105,0.071799916,0.763779528,0.248031496,0.231423393,0.25,0.75,5
0.696474857,0.044444444,0.106060606,0.085898354,0.026622296,0.301812561,0.88976378,0.582677165,0.263348669,0.75,0.425,6
0.835666148,0.325,0.151515152,0.367931281,0.116472546,0.182801742,0.909448819,0.488188976,0.312839816,0.25,0.95,1
0.537065837,0.908333333,0.196969697,0,0,0.103695377,0.885826772,0.692913386,0.127422278,1,0.35,4
0.817781234,0.163888889,0.151515152,0.077308518,0.021630616,0.188000562,0.862204724,0.488188976,0.661090199,0.5,0.55,1
0.873250389,0.466666667,0.196969697,0.171796707,0.09484193,0.212589574,0.964566929,0.566929134,0.416004461,0.25,0.95,1
0.590720581,0.958333333,0.560606061,0.095919828,0.078202995,0.194042434,0.61023622,0.606299213,0.143733445,1,0.25,3
0.764385692,0.955555556,0.242424242,0.25841088,0.06655574,0.723057468,0.842519685,0.649606299,0.248710442,0.25,0.725,5
0.658372214,0.083333333,0.121212121,0.021474588,0,0.167064774,0.877952756,0.55511811,0.316185696,0.75,0.425,6
0.705546916,0.055555556,0.303030303,0.107372942,0.046589018,0.226921456,0.755905512,0.480314961,0.171894605,0.75,0.25,5
0.809227579,0.180555556,0.242424242,0.25841088,0.063227953,0.385134186,0.807086614,0.385826772,0.390631535,0.75,0.8,2
0.587610161,0.975,0.121212121,0.115962777,0.079866889,0.207671772,0.893700787,0.625984252,0.056879967,1,0.25,6
0.643597719,0.166666667,0.151515152,0,0,0.042293101,0.862204724,0.484251969,0.221664575,1,0.125,4
0.738983929,0.791666667,0.393939394,0.414459556,0.161397671,0.274132359,0.901574803,0.885826772,0.272131605,0.75,0.325,5
0.638154484,0.383333333,0.318181818,0.198282033,0.144758735,0.035970212,0.893700787,0.385826772,0.153492263,0.75,0.1,3
0.844997408,0.275,0.439393939,0.047959914,0.03327787,0.3040607,0.732283465,0.157480315,0.017287049,0.75,0.975,7
0.491964749,0.094444444,0.348484848,0.125268432,0.093178037,0.018828158,0.724409449,0.38976378,0.106649937,1,0.05,6
0.65007776,0.497222222,0.454545455,0.219040802,0.202995008,0.043979205,0.948818898,0.531496063,0.134392862,0.75,0.1,3
0.596682219,0.544444444,0.363636364,0.212598425,0.201331115,0.16959393,0.988188976,0.653543307,0.157814025,1,0.075,4
0.692846034,0.133333333,0.393939394,0.021474588,0.014975042,0.192637347,0.688976378,0.291338583,0.158929318,0.75,0.825,2
0.586314152,0.305555556,0.424242424,0.151753758,0.129783694,0.150063229,0.775590551,0.204724409,0.17314931,1,0.075,4
0.880767237,0.425,0.075757576,0.598425197,0.319467554,0.180132078,0.94488189,0.582677165,0.267809842,0.75,0.95,7
0.78900985,0.322222222,0.106060606,0.303507516,0.06655574,0.78797246,0.917322835,0.523622047,0.572563781,0.25,0.725,1
0.574650078,0.333333333,0.378787879,0.047959914,0.039933444,0.134185752,0.822834646,0.263779528,0.18639342,1,0.075,4
0.619751166,0.2,0.151515152,0,0,0.124490656,0.866141732,0.468503937,0.137041684,1,0.15,4
0.592275791,0.386111111,0.242424242,0.137437366,0.169717138,0.170577491,0.917322835,0.452755906,0.152237558,1,0.075,4
0.616381545,0.219444444,0.242424242,0.289191124,0.301164725,0.121539975,0.826771654,0.377952756,0.210093406,1,0.15,4
0.796008294,0.791666667,0.212121212,0.387258411,0.257903494,0.450611213,0.940944882,0.779527559,0.287745713,0.75,0.575,1
0.850699844,0.252777778,0.454545455,0.125268432,0.069883527,0.323872418,0.704724409,0,0.085877597,0.75,0.975,7
0.648004147,0.508333333,0.424242424,0.064423765,0.036605657,0.096248419,0.964566929,0.570866142,0.152098146,0.75,0.05,2
0.632192846,0.047222222,0.181818182,0,0,0.051285654,0.842519685,0.551181102,0.178865189,1,0.15,4
0.737687921,0.144444444,0.166666667,0.068002863,0.03327787,0.38471266,0.854330709,0.488188976,0.388958595,0.25,0.3,2
0.745204769,0.447222222,0.196969697,0.236220472,0.254575707,0.254461149,0.956692913,0.547244094,0.100515823,0.75,0.8,5
0.567392431,0.222222222,0.151515152,0,0,0.08683434,0.877952756,0.472440945,0.171615781,1,0.4,4
0.787713841,0.85,0.545454545,0.273443092,0.37936772,0.151749333,0.767716535,0.87007874,0.180538129,0.75,0.825,1
0.813634007,0.488888889,0.090909091,0.244810308,0.051580699,0.307011381,0.956692913,0.606299213,0.364003904,0.75,0.8,2
0.769051322,0.255555556,0.121212121,0.410164639,0.08985025,0.571448644,0.897637795,0.503937008,0.642409034,0.25,0.3,2
0.775790565,0.380555556,0.136363636,0.182534001,0.048252912,0.560629479,0.933070866,0.523622047,0.35870626,0.25,0.725,2
0.883618455,0.486111111,0.227272727,0.319255548,0.178036606,0.300407475,0.972440945,0.582677165,0.074027604,0.75,0.95,7
0.861067911,0.586111111,0.181818182,0.493915533,0.158069884,0.586764086,0.988188976,0.688976378,0.277708072,0.25,0.575,7
0.595904614,0.144444444,0.439393939,0.030064424,0.044925125,0.215680764,0.645669291,0.228346457,0.090478182,1,0.075,3
0.582685329,0.380555556,0.393939394,0.115962777,0.149750416,0.202753969,0.87007874,0.326771654,0.118918165,1,0.075,4
0.614567133,0.972222222,0.363636364,0.312813171,0.257903494,0.131235071,0.751968504,0.614173228,0.158929318,1,0.25,6
0.733281493,0.563888889,0.393939394,0.068002863,0.03327787,0.19235633,0.992125984,0.696850394,0.375156838,0.75,0.1,5
0.630378434,0.744444444,0.242424242,0.030064424,0.009983361,0.047070395,0.960629921,0.811023622,0.023699986,1,0.25,2
0.853551063,0.280555556,0.348484848,0.030064424,0.018302829,0.315863426,0.799212598,0.267716535,0.031785864,0.75,0.975,7
0.604458269,0.630555556,0.545454545,0.068002863,0.103161398,0.182520725,0.964566929,0.846456693,0.068590548,1,0.025,6
0.847589425,0.588888889,0.393939394,0.095919828,0.058236273,0.327947169,1,0.744094488,0.091314652,0.75,0.975,7
0.703732504,0.002777778,0.242424242,0.088761632,0.003327787,0.347758887,0.818897638,0.586614173,0.063850551,0.75,0.775,5
0.822187662,0.344444444,0.196969697,0.085898354,0.001663894,0.690740481,0.909448819,0.460629921,0.31813746,0.25,0.725,1
0.710471747,0.844444444,0.136363636,0.156048676,0.084858569,0.209638893,0.929133858,0.708661417,0.290952182,0.75,0.275,5
0.580611716,0.880555556,0.454545455,0.047959914,0.046589018,0.119853871,0.783464567,0.795275591,0.035968214,1,0.25,3
0.867288751,0.733333333,0.075757576,0.343593414,0.058236273,0.12308557,0.952755906,0.681102362,0.222640457,0.75,0.8,7
0.679367548,0.647222222,0.409090909,0.021474588,0.016638935,0.199943797,0.992125984,0.838582677,0.157535201,0.75,0.1,6
0.599274235,0.313888889,0.333333333,0.25841088,0.219633943,0.162006463,0.830708661,0.295275591,0.168548724,1,0.15,4
0.622602385,0.688888889,0.060606061,0.021474588,0.003327787,0.063790923,0.956692913,0.669291339,0.084065245,0.75,0.35,6
0.900207361,0.022222222,0.227272727,0.410164639,0.207986689,0.590838837,0.818897638,0.562992126,0.47720619,0.75,0.975,7
0.844997408,0.761111111,0.227272727,0.021474588,0.008319468,0.559926936,0.952755906,0.799212598,0.16980343,0.25,0.95,7
0.736132711,0.458333333,0.242424242,0.212598425,0.02828619,0.101166222,0.956692913,0.539370079,0.068590548,0.25,0.75,5
0.556505962,0.894444444,0.196969697,0.021474588,-0.004991681,0.13446677,0.893700787,0.704724409,0.09940053,1,0.25,3
0.888024883,0.108333333,0.227272727,0.250536865,0.1281198,0.435155262,0.811023622,0.464566929,0.191551652,0.75,0.975,7
0.736651115,0.272222222,0.212121212,0.088761632,0.043261231,0.466910215,0.866141732,0.413385827,0.397462707,0.25,0.3,2
0.555987558,0.086111111,0.287878788,0.156048676,0.076539101,0.047070395,0.771653543,0.448818898,0.051024676,1,0.25,6
0.8281493,0.661111111,0.242424242,0.194702935,0.024958403,0.654489251,0.992125984,0.775590551,0.154328733,0.75,0.8,1
0.757905651,0.561111111,0.318181818,0.405153901,0.361064892,0.077420261,0.996062992,0.68503937,0.242436916,0.75,0.1,5
0.875324002,0.466666667,0.439393939,0.271295634,0.362728785,0.248840804,0.929133858,0.464566929,0.073191133,0.75,0.975,7
0.858994298,0.95,0.136363636,0.021474588,0.008319468,0.564704229,0.893700787,0.645669291,0.212463404,0.25,0.575,1
0.835406947,0.016666667,0.287878788,0.077308518,0.038269551,0.241253337,0.783464567,0.551181102,0.059110553,0.75,0.975,7
0.8437014,0.852777778,0.378787879,0.068002863,0.023294509,0.521427568,0.850393701,0.822834646,0.222082811,0.25,0.725,1
0.744686366,0.861111111,0.348484848,0.269148175,0.076539101,0.27399185,0.858267717,0.799212598,0.202704587,0.75,0.775,2
0.659927424,0.477777778,0.303030303,0.047959914,0.014975042,0.200224814,0.964566929,0.547244094,0.110414053,0.75,0.075,3
0.839813375,0.133333333,0.106060606,0.154617037,0.013311148,0.226640438,0.885826772,0.543307087,0.147358149,0.75,0.975,1
0.778900985,0.358333333,0.196969697,0.292054402,0.109816972,0.07545314,0.913385827,0.468503937,0.285654538,0.75,0.825,2
0.857179886,0.313888889,0.212121212,0.150322119,-0.009983361,0.567935928,0.88976378,0.429133858,0.324968632,0.25,0.95,7
0.609123898,0.219444444,0.121212121,0.021474588,0.001663894,0.122945061,0.885826772,0.496062992,0.208420466,1,0.125,4
0.832555728,0.738888889,0.333333333,0.12884753,0.131447587,0.396515386,0.956692913,0.862204724,0.160323435,0.75,0.825,1
0.752721617,0.083333333,0.242424242,0.335719399,0.164725458,0.370661796,0.799212598,0.480314961,0.21371811,0.75,0.825,2
0.757387247,0.016666667,0.257575758,0.369362921,0.171381032,0.210762962,0.807086614,0.559055118,0.390073888,0.75,0.825,2
0.730948678,0.266666667,0.242424242,0.137437366,0.104825291,0.059856681,0.850393701,0.381889764,0.17565872,0.25,0.75,5
0.594608605,0.816666667,0.378787879,0.107372942,0.086522463,0.116622172,0.881889764,0.862204724,0.050467029,1,0.25,3
0.872472784,0.308333333,0.212121212,0.346456693,0.096505824,0.201770409,0.881889764,0.421259843,0.371671546,0.75,0.8,1
0.662260238,0.469444444,0.151515152,0.021474588,0.006655574,0.193058873,0.960629921,0.582677165,0.182211069,0.75,0.425,6
0.601088647,0.822222222,0.287878788,0.107372942,0.1281198,0.035829704,0.905511811,0.81496063,0.127143455,1,0.25,3
0.867029549,0.141666667,0.227272727,0.143879742,0.059900166,0.310805115,0.81496063,0.437007874,0.254565733,0.75,0.775,1
0.574390876,0.402777778,0.090909091,0,0,0.155964592,0.940944882,0.566929134,0.05632232,1,0.425,4
0.580870918,0.886111111,0.348484848,0.021474588,0.016638935,0.218350429,0.830708661,0.767716535,0.097030531,1,0.425,6
0.83903577,0.041666667,0.151515152,0.416607015,0.153078203,0.358297035,0.862204724,0.566929134,0.477485013,0.75,0.775,1
0.649818559,0.383333333,0.106060606,0.021474588,0,0.167907826,0.937007874,0.543307087,0.208978112,0.75,0.425,6
