F2,F3,F1,F11,F4,F6,F10,F9,F5,F7,F12,F8,out,,,,
0.487486631,0.535329744,0.29324192,0.195212766,0.490104773,0.050329852,0.224962349,0.105349473,0.102396514,0.2356,5.205,0.127,0,,,,
0.506096257,0.56359354,0.330656219,0.193971631,0.506070181,0.046316658,0.223456325,0.142991019,0.091321714,0.238,5.33,0.1562,0,,,,
0.486203209,0.543741588,0.341038198,0.180141844,0.508731083,0.05637713,0.235504518,0.100585709,0.057189542,0.2222,5.382,0.1648,0,,,,
0.480641711,0.566453567,0.333594515,0.191312057,0.507566938,0.02046729,0.225903614,0.091995314,0.100181554,0.1758,5.43,0.1221,0,,,,
0.458181818,0.582604307,0.517727718,0.195390071,0.519042076,0.074491479,0.226091867,0.086255369,0.082461874,0.1782,5.677,0.0708,0,,,,
0.495614973,0.564771198,0.617238002,0.186347518,0.594545152,0.022482133,0.208396084,0.077704022,0.058061002,0.2661,4.746,0.1807,0,,,,
0.472085561,0.64333782,0.768462292,0.161684397,0.771994013,0.087575591,0.219691265,0.169191722,0.24335512,0.4956,5.17,0.2136,0,,,,
0.431871658,0.804340511,0.803525955,0.213652482,0.944786296,0.117097306,0.235504518,0.322686451,0.46550472,0.8521,5.204,0.3638,0,,,,
0.446203209,0.793068641,0.868756121,0.232269504,0.975220356,0.2026663,0.276167169,0.572823116,0.619825708,0.791,5.754,0.4675,0,,,,
0.419893048,0.887786003,0.803721841,0.409929078,0.977548645,0.266767455,0.340737952,0.746583366,0.668845316,0.8752,4.922,0.5347,0,,,,
0.382459893,0.923283984,0.873065622,0.942730496,0.983868285,0.338647609,0.599021084,0.812573214,0.763616558,1.025,5.082,0.5664,0,,,,
0.380534759,0.948855989,0.884427032,0.979787234,0.99002162,0.385101704,0.962161145,0.861382273,0.80573711,1.147,5.577,0.4736,0,,,,
0.376684492,0.972072678,0.834084231,0.929787234,0.983868285,0.440351842,0.969503012,0.869972667,0.789760349,1.058,5.414,0.5981,0,,,,
0.363208556,0.967025572,0.880117532,0.956205674,0.978879095,0.460692688,0.942018072,0.95900039,0.865286855,1.202,4.696,0.4077,0,,,,
0.34802139,0.971567968,0.893829579,0.97570922,0.994345585,0.507971413,0.952748494,0.902381882,0.832970225,0.9766,5.763,0.6555,0,,,,
0.322994652,0.887449529,0.860333007,0.965780142,0.99318144,0.526388125,0.94126506,0.900819992,0.926289034,1.184,5.769,0.5615,0,,,,
0.30802139,0.918405114,0.863663075,0.968617021,0.99318144,0.550302364,0.978539157,0.930105428,0.901234568,1.007,5.38,0.5774,0,,,,
0.329197861,0.914535666,0.861508325,0.932801418,0.991518377,0.560747664,0.961031627,0.961343225,0.934277415,1.013,5.076,0.7031,0,,,,
0.328983957,0.906965007,0.86993144,0.981914894,0.991019458,0.587135789,0.961031627,1,0.949891068,1.195,4.854,0.6311,0,,,,
0.311871658,0.976783311,0.865621939,0.957978723,0.978879095,0.557724024,0.96121988,0.93518157,0.933914306,1.244,5.53,0.6555,0,,,,
0.303957219,0.906292059,0.896767875,0.962056738,0.993680359,0.585211655,0.957643072,0.96368606,1,1.144,5.139,0.7983,0,,,,
0.287700535,0.979811575,0.893633692,0.943439716,0.989190088,0.582188015,0.964796687,0.916048419,0.910312273,1.162,5.043,0.5127,0,,,,
0.249625668,0.936069987,0.86718903,0.961702128,0.991684683,0.605552501,0.941641566,0.934791097,0.945170661,1.113,5.398,0.6995,0,,,,
0.282994652,0.908479139,0.895200784,0.986879433,0.994012972,0.579439252,0.94747741,0.955876611,0.917574437,0.9351,4.761,0.6445,0,,,,
0.274652406,0.908479139,0.870323213,0.973758865,0.982371528,0.600054975,0.955195783,0.976181179,0.916485113,1.198,5.515,0.5896,0,,,,
0.288342246,0.983344549,0.866013712,0.983687943,0.983036754,0.600054975,0.970444277,0.934400625,0.901597676,1.14,5.516,0.7788,0,,,,
0.251764706,0.966857335,0.886581783,0.941312057,0.980542159,0.552226498,0.968373494,0.96368606,0.858750908,1.266,4.686,0.697,0,,,,
0.234652406,0.943472409,0.885406464,0.954787234,0.999667387,0.60940077,0.957831325,0.945724326,0.927741467,1.21,5.499,0.6018,0,,,,
0.238716578,0.951211306,0.851714006,0.995744681,0.990520539,0.620395822,0.954631024,0.912143694,0.899782135,1.217,5.712,0.6409,0,,,,
0.258181818,0.95205249,0.921645446,0.939184397,0.98636288,0.613249038,0.952936747,0.978133542,0.937908497,1.145,5.77,0.7458,0,,,,
0.261818182,0.951211306,0.904015671,0.942198582,0.999667387,0.604727872,0.942959337,0.988676298,0.903413217,1.147,5.52,0.5481,0,,,,
0.230802139,0.974259758,0.856611166,0.953900709,0.985697655,0.583562397,0.939006024,0.964076533,0.913580247,1.156,5.742,0.5579,0,,,,
0.230588235,0.90410498,0.882859941,0.959929078,0.982205222,0.613798791,0.953125,0.93674346,0.900508351,1.118,5.348,0.6995,0,,,,
0.220320856,0.971231494,0.870323213,0.971985816,0.989689007,0.5788895,0.970256024,0.939476767,0.903776325,1.115,5.504,0.5103,0,,,,
0.237647059,0.967025572,0.921057786,0.959042553,1,0.579714129,0.94314759,0.964857478,0.918300654,1.146,5.737,0.6116,0,,,,
0.244705882,0.918068641,0.899510284,0.934929078,0.977216032,0.601704233,0.949924699,0.92893401,0.832970225,1.169,5.447,0.5493,0,,,,
0.241069519,0.943472409,0.914789422,0.964184397,0.985365042,0.630016493,0.969126506,0.990628661,0.857661583,1.116,5.415,0.5151,0,,,,
0.229946524,0.987382234,0.86777669,0.992730496,0.976883419,0.559923035,0.956513554,0.891448653,0.892519971,1.117,5.505,0.6384,0,,,,
0.225882353,0.972745626,0.881096964,0.931028369,0.979544321,0.593457944,0.95689006,0.942991019,0.883079158,1.199,5.419,0.6897,0,,,,
0.231016043,0.952893674,0.908325171,0.934219858,0.98636288,0.566520066,0.991528614,0.962905115,0.871096587,1.104,4.863,0.5688,0,,,,
0.249625668,0.919919246,0.893633692,0.976950355,0.995343423,0.579714129,0.953878012,0.941429129,0.901597676,1.201,5.048,0.5603,0,,,,
0.228235294,0.943472409,0.896376102,0.966843972,0.982205222,0.569818582,0.929781627,0.883248731,0.871459695,1.152,4.849,0.7031,0,,,,
0.232941176,0.983681023,0.916160627,0.976595745,0.987360718,0.565695437,0.96875,0.880905896,0.864197531,1.144,5.304,0.6433,0,,,,
0.219893048,0.902254374,0.877962782,0.961879433,0.985198736,0.58108851,0.96498494,0.919562671,0.823529412,1.108,5.021,0.6482,0,,,,
0.20915508,0.93909825,0.891283056,0.946631206,0.989023782,0.5684442,0.936182229,0.919172198,0.923747277,1.118,5.547,0.5579,0,,,,
0.22802139,0.915881561,0.870910872,0.937588652,0.986030268,0.580263881,0.945783133,0.946114799,0.857298475,1.036,5.585,0.6812,0,,,,
0.227379679,0.978129206,0.903428012,0.934219858,0.981207384,0.58851017,0.966114458,0.893401015,0.863834423,1.068,5.536,0.5786,0,,,,
0.196363636,0.913189771,0.893829579,0.948049645,0.979710627,0.537108301,0.94747741,0.941038657,0.849673203,1.068,4.819,0.6348,0,,,,
0.210203209,0.908815612,0.887169442,0.979432624,0.980375852,0.576415613,0.961972892,0.92737212,0.867828613,1.097,5.319,0.5774,0,,,,
0.206010695,0.965006729,0.922820764,0.94929078,0.980708465,0.5684442,0.946724398,0.945724326,0.860929557,0.9717,5.728,0.6116,0,,,,
0.214331551,0.956426649,0.878550441,0.957269504,0.987360718,0.567619571,0.942206325,0.909800859,0.837690632,1.046,4.922,0.5359,0,,,,
0.189048128,0.90460969,0.909892262,0.933687943,0.965075669,0.579439252,0.977409639,0.934400625,0.868917938,1.028,4.878,0.6116,0,,,,
0.231871658,0.964165545,0.900097943,0.931737589,0.976883419,0.563496427,0.94126506,0.922686451,0.834785766,1.056,5.818,0.6152,0,,,,
0.18226738,0.949697174,0.882272282,0.950177305,0.983535673,0.579164376,0.926769578,0.858258493,0.847494553,1.099,4.825,0.5298,0,,,,
0.223957219,0.898048452,0.869735553,0.97677305,0.974721437,0.589334799,0.966302711,0.912143694,0.835511983,0.9485,4.952,0.5859,0,,,,
0.200534759,0.990410498,0.868168462,0.970921986,0.975885581,0.576140737,0.965926205,0.922686451,0.854030501,0.9729,5.746,0.5969,0,,,,
0.214973262,0.95474428,0.889324192,0.935460993,0.974887743,0.552501374,0.94314759,0.92581023,0.810094408,1.101,5.488,0.6909,0,,,,
0.220106952,0.950874832,0.912047013,0.938475177,0.983868285,0.571742716,0.940888554,0.902381882,0.850036311,1.021,5.677,0.6812,0,,,,
0.198181818,0.948519515,0.908129285,0.980496454,0.973557293,0.569543705,0.97063253,0.907458024,0.831517792,1.006,5.244,0.5713,0,,,,
0.203935829,0.951884253,0.866797258,0.959397163,0.974388824,0.588785047,0.971762048,0.917219836,0.83805374,1.068,5.317,0.481,0,,,,
0.206802139,0.912516824,0.879529873,0.960460993,0.983868285,0.556624519,0.987763554,0.898477157,0.830791576,1.024,5.201,0.5261,0,,,,
0.214545455,0.91218035,0.893633692,0.938120567,0.972393148,0.559648158,0.926769578,0.921905506,0.776688453,1.005,5.541,0.5811,0,,,,
0.213069519,0.948183042,0.910871694,0.94751773,0.966738733,0.592358439,0.948606928,0.888324873,0.7610748,1.023,4.775,0.5066,0,,,,
0.217326203,0.919414536,0.904407444,0.968262411,0.975220356,0.547278725,0.966302711,0.934791097,0.807189542,0.9973,5.554,0.6628,0,,,,
0.20628877,0.940780619,0.89049951,0.941312057,0.986695493,0.560472787,0.924887048,0.893401015,0.821713871,1.133,5.624,0.5786,0,,,,
0.207058824,0.961137281,0.854456415,0.966312057,0.967902877,0.553875756,0.957078313,0.901210465,0.814814815,1.066,5.573,0.553,0,,,,
0.203935829,0.905282638,0.869343781,0.967730496,0.97322468,0.56102254,0.939006024,0.937914877,0.839143065,0.9924,5.117,0.5432,0,,,,
0.213582888,0.909152086,0.881684623,0.978900709,0.972060536,0.560472787,0.939570783,0.86255369,0.76724764,0.957,5.333,0.6714,0,,,,
0.195828877,0.953903096,0.865817826,0.963120567,0.973557293,0.548653106,0.950301205,0.939476767,0.822803195,1.077,5.457,0.6006,0,,,,
0.473582888,0.48923284,0.236434868,0.169255319,0.420921337,0.059730621,0.177635542,0.0609918,0.091321714,0.1819,5.453,0.1428,0,,,,
0.481497326,0.487886945,0.246229187,0.194326241,0.426908365,0.058053876,0.183847892,0.139672003,0.065141612,0.1978,5.737,0.04517,0,,,,
0.491336898,0.486709287,0.223114594,0.182446809,0.423415932,0.026170973,0.180628765,0.057672784,0.090849673,0.2258,5.449,0.1855,0,,,,
0.470802139,0.513627187,0.241332027,0.163634752,0.425078996,0.026170973,0.178557982,0.072432643,0.104175744,0.1721,5.616,0.1733,0,,,,
0.493475936,0.501514132,0.244857982,0.169255319,0.39264926,0.017113799,0.200301205,0.063881296,0.097530864,0.01831,5.479,0.1636,0,,,,
0.485347594,0.479306864,0.226052889,0.167960993,0.405288541,-0.029191864,0.183603163,0.079109723,0.059840232,0.0708,4.937,0.1746,0,,,,
0.494973262,0.486372813,0.242507346,0.173794326,0.402793946,0.02684442,0.185448042,0.055759469,0.094843863,-0.01587,4.951,0.127,0,,,,
0.509946524,0.508748318,0.238785504,0.16751773,0.413603858,0.076498076,0.207078313,0.106755174,0.098402324,0.1965,5.32,0.009766,0,,,,
0.511871658,0.494952894,0.243095005,0.187411348,0.410277732,0.071137988,0.195406627,0.124404529,0.056717502,0.249,5.005,0.1648,0,,,,
0.49540107,0.460969044,0.244662096,0.167304965,0.391984035,0.044639912,0.182925452,0.086762983,0.061183733,0.1501,5.182,0.26,0,,,,
0.524064171,0.47089502,0.230754163,0.176400709,0.388990521,0.022817482,0.184525602,0.054822335,0.074037763,0.1318,5.602,0.0647,0,,,,
0.529197861,0.508411844,0.235259549,0.179078014,0.417262598,0.034909291,0.197665663,0.090081999,0.068700073,0.3528,5.662,0.2185,0,,,,
0.471657754,0.48384926,0.252105779,0.16751773,0.423249626,0.036228697,0.181306476,0.130144475,0.066485113,0.2393,5.677,0.06714,0,,,,
0.46973262,0.486709287,0.238197845,0.124875887,0.427906203,0.037245739,0.177861446,0.092463881,0.099745824,0.08301,4.91,0.06592,0,,,,
0.515721925,0.46820323,0.22546523,0.186347518,0.419258274,-0.048323255,0.202748494,0.093908629,0.062926652,0.1917,5.171,0.1172,0,,,,
0.484705882,0.455248991,0.22115573,0.175744681,0.434059538,0.025835624,0.184525602,0.077704022,0.116122004,0.08545,5.256,0.1489,0,,,,
0.489411765,0.482839838,0.238197845,0.192375887,0.427739897,0.049670148,0.182454819,0.099140961,0.096623094,0.2576,5.316,0.3113,0,,,,
0.546737968,0.488728129,0.231929481,0.191489362,0.416763679,0.048982958,0.193335843,0.081023038,0.088198983,0.2124,4.718,0.1575,0,,,,
0.481925134,0.51295424,0.226444662,0.172925532,0.434225844,0.067454645,0.167526355,0.129636861,0.081989833,0.1379,5.608,0.1465,0,,,,
0.512727273,0.510598923,0.230754163,0.14285461,0.422085481,0.081528312,0.180402861,0.079109723,0.03412854,0.1514,5.553,0.1343,0,,,,
0.499037433,0.500672948,0.224289912,0.178191489,0.434724763,0.038922485,0.172119729,0.087700117,0.068264343,0.1868,5.668,0.09644,0,,,,
0.473582888,0.49192463,0.253281097,0.190070922,0.450357559,0.060390324,0.190323795,0.045294807,0.050980392,0.1428,4.827,0.1709,0,,,,
0.471871658,0.468034993,0.240744368,0.187056738,0.401962415,0.023152831,0.190135542,0.035747755,0.085112564,0.1013,5.571,0.07812,0,,,,
0.514652406,0.518169583,0.230754163,0.19787234,0.446865126,-0.025164926,0.230045181,0.066731745,0.091757444,0.1782,5.422,0.2612,0,,,,
0.48,0.47577389,0.235259549,0.170124113,0.430400798,0.009395272,0.185222139,0.114877001,0.045642702,0.003662,5.61,0.2234,0,,,,
0.480427807,0.474932705,0.252301665,0.161241135,0.447862964,0.022482133,0.169126506,0.05673565,0.087763253,0.1611,4.952,0.1416,0,,,,
0.507165775,0.475605653,0.252497551,0.190070922,0.46116747,-0.023823529,0.174887048,0.08723155,0.079339143,0.2039,5.115,0.04639,0,,,,
0.484278075,0.467866756,0.249363369,0.169680851,0.450357559,0.039939527,0.163158886,0.107731355,0.038997821,0.2173,4.767,0.1721,0,,,,
0.46631016,0.480316285,0.24387855,0.154095745,0.47297522,0.057036833,0.190700301,0.124873096,0.075780683,0.3394,5.71,0.1514,0,,,,
0.503529412,0.465006729,0.255435847,0.153244681,0.468152337,0.042275976,0.184073795,0.055290902,0.062926652,0.07446,5.135,-0.009766,0,,,,
0.490695187,0.480148048,0.247992165,0.173368794,0.463329453,0.016440352,0.184525602,0.115345568,0.112127814,0.2246,5.206,0.06714,0,,,,
0.469518717,0.515477793,0.247404505,0.189007092,0.491767836,0.05904343,0.180628765,0.060523233,0.081118373,0.09888,5.521,0.1733,0,,,,
0.500106952,0.472409152,0.246816846,0.150851064,0.459338101,0.030208906,0.189194277,0.125341663,0.077124183,0.1892,4.788,0.05127,0,,,,
0.468877005,0.492261104,0.303232125,0.145886525,0.451854316,0.043952721,0.190888554,0.083873487,0.118336964,0.1501,5.496,0.1453,0,,,,
0.470160428,0.524730821,0.46718903,0.172074468,0.619324796,0.054013194,0.176713102,0.207340882,0.26194626,0.3149,5.265,0.2441,0,,,,
0.439144385,0.609185734,0.599216454,0.157783688,0.905205388,0.222127543,0.176487199,0.280749707,0.363471314,0.5054,5.16,0.3552,0,,,,
0.412834225,0.81679004,0.692066601,0.180673759,0.897555297,0.378229797,0.170971386,0.386567747,0.435729847,0.6482,5.334,0.3552,0,,,,
0.372406417,0.866083445,0.71596474,0.189184397,0.899052054,0.463166575,0.21310241,0.477938305,0.458242556,0.7312,5.553,0.3625,0,,,,
0.352727273,0.837314939,0.75337904,0.260992908,0.931980708,0.527212754,0.272025602,0.450995705,0.47167756,0.6897,5.043,0.4883,0,,,,
0.350374332,0.886103634,0.770029383,0.3,0.938134043,0.612699285,0.333207831,0.503709488,0.476761075,0.7825,5.209,0.293,0,,,,
0.34459893,0.868438762,0.775318315,0.345921986,0.947613504,0.559098406,0.434299699,0.534947286,0.527596224,0.6702,4.749,0.4639,0,,,,
0.305668449,0.910329744,0.819000979,0.35141844,0.940628638,0.60417812,0.555722892,0.566185084,0.523602033,0.7739,5.082,0.6201,0,,,,
0.291336898,0.938761777,0.754358472,0.389007092,0.978047564,0.626717977,0.704066265,0.54822335,0.533405955,0.8313,5.162,0.5957,0,,,,
0.314438503,0.938761777,0.8043095,0.397163121,0.941293863,0.615448048,0.742093373,0.553299492,0.515613653,0.7874,4.758,0.5188,0,,,,
0.293475936,0.921265141,0.776885406,0.389184397,0.933311159,0.633589885,0.821724398,0.544318626,0.516339869,0.7947,5.535,0.459,0,,,,
0.282780749,0.862886945,0.809990206,0.426595745,0.92965242,0.627542606,0.891566265,0.55290902,0.488743646,0.7202,5.342,0.5103,0,,,,
0.255187166,0.913862719,0.787463271,0.445390071,0.97139531,0.650907092,0.944465361,0.541585318,0.530501089,0.7812,5.284,0.5164,0,,,,
0.221390374,0.942294751,0.811753183,0.459219858,0.958423416,0.621770203,0.92940512,0.52128075,0.530137981,0.8655,5.458,0.4785,0,,,,
0.230374332,0.881561238,0.783545544,0.464007092,0.943622152,0.637987905,0.966679217,0.54822335,0.486564996,0.7947,5.4,0.4102,0,,,,
0.250695187,0.918236878,0.834476004,0.495567376,0.914019624,0.619296317,0.96121988,0.577508786,0.502178649,0.8069,5.375,0.3821,0,,,,
0.244919786,0.932705249,0.835455436,0.484219858,0.965574588,0.626717977,0.940135542,0.539632956,0.492011619,0.7251,5.421,0.3418,0,,,,
0.22802139,0.95743607,0.824877571,0.47570922,0.927324131,0.609675646,0.975903614,0.530652089,0.505446623,0.8862,5.354,0.5481,0,,,,
0.218609626,0.869952894,0.783153771,0.492553191,0.954930983,0.654205607,0.944088855,0.485357282,0.496732026,0.7056,5.476,0.4529,0,,,,
0.224812834,0.895188425,0.773163565,0.481560284,0.968900715,0.622319956,0.964420181,0.536118704,0.481481481,0.8057,5.134,0.5505,0,,,,
0.228449198,0.932032301,0.827424094,0.484574468,0.952935307,0.620395822,0.981739458,0.567356501,0.495279593,0.7214,5.161,0.498,0,,,,
0.226951872,0.861709287,0.77884427,0.492375887,0.96457675,0.627542606,0.983998494,0.534166341,0.504720407,0.7727,5.452,0.4358,0,,,,
0.20915508,0.89333782,0.820959843,0.483333333,0.928155663,0.587135789,0.978915663,0.470519328,0.456063907,0.8179,5.391,0.4285,0,,,,
0.230374332,0.936911171,0.776101861,0.503900709,0.964909363,0.614073667,0.965926205,0.572042171,0.502541757,0.6726,5.509,0.4089,0,,,,
0.224812834,0.916554509,0.782566112,0.531737589,0.907699983,0.64431006,0.928652108,0.556423272,0.462236747,0.6592,4.832,0.4675,0,,,,
0.189048128,0.870794078,0.775710088,0.491666667,0.963412606,0.586860913,0.949924699,0.471300273,0.465867829,0.6921,5.068,0.5042,0,,,,
0.22973262,0.92025572,0.787659158,0.493617021,0.944121071,0.599230346,0.935993976,0.504490433,0.523965142,0.7007,5.199,0.448,0,,,,
0.214117647,0.88795424,0.824094025,0.52251773,0.970730085,0.599505223,0.934864458,0.525575947,0.458242556,0.7788,5.62,0.3589,0,,,,
0.235508021,0.943472409,0.810186092,0.493617021,0.91784467,0.587135789,0.972326807,0.506052323,0.472040668,0.7019,5.366,0.6531,0,,,,
0.192449198,0.88526245,0.761606268,0.503191489,0.946781972,0.582188015,0.965361446,0.518547442,0.465867829,0.7849,5.028,0.5627,0,,,,
0.231871658,0.859858681,0.783545544,0.501241135,0.915516381,0.569543705,0.980045181,0.511128465,0.441176471,0.7422,5.353,0.5017,0,,,,
0.19713369,0.871130552,0.763956905,0.493439716,0.908198902,0.630841121,0.950489458,0.493947677,0.463689179,0.7336,5.222,0.2075,0,,,,
0.229946524,0.88795424,0.800587659,0.505851064,0.927157825,0.562946674,0.958019578,0.514642718,0.465141612,0.7141,5.505,0.4309,0,,,,
0.225026738,0.95743607,0.779236043,0.488475177,0.935473142,0.579164376,0.945218373,0.539242483,0.442628903,0.7532,5.392,0.4431,0,,,,
0.219679144,0.896702557,0.803721841,0.516843972,0.915516381,0.553875756,0.970256024,0.497071456,0.451706609,0.7129,5.52,0.3699,0,,,,
0.224385027,0.893506057,0.815083252,0.482092199,0.868119075,0.558273777,0.974209337,0.470128856,0.441176471,0.6726,5.092,0.4419,0,,,,
0.214545455,0.953398385,0.762781587,0.486524823,0.950108099,0.564046179,0.955760542,0.494338149,0.421205519,0.6873,4.963,0.3821,0,,,,
0.213582888,0.928667564,0.77884427,0.52393617,0.928321969,0.567069819,0.951430723,0.473252636,0.417574437,0.6396,5.63,0.2954,0,,,,
0.183572193,0.84858681,0.77179236,0.498758865,0.900216198,0.484606927,0.951430723,0.44865287,0.390341322,0.6042,5.166,0.4285,0,,,,
0.203935829,0.873822342,0.741821743,0.485460993,0.856311325,0.511819681,0.933923193,0.426786412,0.410312273,0.6702,5.082,0.4663,0,,,,
0.210716578,0.833445491,0.745543585,0.478723404,0.903874938,0.523914239,0.946159639,0.45333854,0.414306463,0.6848,4.843,0.3552,0,,,,
0.19140107,0.971231494,0.751028404,0.462588652,0.883918177,0.554425509,0.971385542,0.428348301,0.373638344,0.6006,5.452,0.4639,0,,,,
0.249625668,0.889300135,0.743584721,0.459751773,0.873108265,0.478284772,0.964796687,0.429519719,0.395787945,0.6982,5.466,0.4138,0,,,,
0.188513369,0.878532974,0.721253673,0.470567376,0.921836022,0.540681693,0.977409639,0.436938696,0.366739288,0.6445,5.667,0.4175,0,,,,
0.214973262,0.888795424,0.734769833,0.450177305,0.910693497,0.521715228,0.945783133,0.434595861,0.369644154,0.7019,4.803,0.4358,0,,,,
0.197411765,0.940948856,0.757296768,0.435638298,0.863628804,0.514018692,0.959149096,0.413119875,0.345715323,0.509,4.812,0.3796,0,,,,
0.222245989,0.833950202,0.738687561,0.468617021,0.86429403,0.50522265,0.959713855,0.430300664,0.312926652,0.5176,5.397,0.3918,0,,,,
0.196363636,0.863728129,0.761998041,0.462056738,0.830533843,0.480483782,0.952371988,0.384654432,0.394335512,0.5396,5.299,0.3589,0,,,,
0.179914439,0.941621803,0.749657199,0.477659574,0.871112589,0.484881803,0.944465361,0.367981257,0.341285403,0.5566,5.552,0.3235,0,,,,
0.220106952,0.873990579,0.71870715,0.446099291,0.888741061,0.468664101,0.963290663,0.363217493,0.345715323,0.5273,5.327,0.3198,0,,,,
0.192705882,0.881224764,0.703036239,0.446453901,0.857309163,0.457119296,0.920368976,0.365130808,0.302287582,0.5994,5.171,0.3894,0,,,,
0.23144385,0.921096904,0.742213516,0.42287234,0.810078164,0.423859263,0.930911145,0.421710269,0.327995643,0.5688,5.35,0.2332,0,,,,
0.187743316,0.832604307,0.696571988,0.395567376,0.891568269,0.448873007,0.942582831,0.404529481,0.328431373,0.5225,5.42,0.2197,0,,,,
0.200791444,0.851615074,0.703036239,0.433333333,0.810577083,0.492028587,0.948606928,0.417415072,0.324473493,0.5554,5.667,0.4248,0,,,,
